id,label,descricao,uso_comum
alagado,Alagado,"Água tomou o local; travessias ficam lentas, escondem buracos e podem revelar passagens submersas.","Ruínas baixas, porões, pontes, vilarejos ribeirinhos e cavernas."
amaldicoado,Amaldiçoado,"Uma maldição local altera sorte, sonhos, colheitas, nascimentos, memória ou descanso.","Templos, tumbas, casas nobres, campos de batalha e círculos de pedra."
assombrado,Assombrado,"Presenças, vozes, ecos ou aparições repetem eventos antigos ou protegem algo esquecido.","Ruínas, estradas antigas, pousadas, torres, cemitérios e campos de batalha."
contaminado,Contaminado,"Ar, água, solo ou alimento estão corrompidos por doença, alquimia, veneno ou magia.","Pântanos, minas, laboratórios, poços e assentamentos isolados."
consagrado,Consagrado,"O local foi santificado por culto, juramento, sacrifício ou milagre antigo.","Santuários, fontes, bosques, templos e marcos de peregrinação."
congelado,Congelado,"Gelo, geada ou frio sobrenatural paralisou parte do local.","Pontes, lagos, cavernas, torres e ruínas em regiões frias."
tomado_pela_natureza,Tomado pela Natureza,"Raízes, cipós, fungos, animais ou árvores retomaram o espaço.","Cidades antigas, estradas, templos, fortalezas e observatórios."
em_cerco,Em Cerco,"O local está cercado ou pressionado por inimigos, monstros, dívida, fome ou facção rival.","Aldeias, torres, fortalezas, minas e acampamentos."
em_quarentena,Em Quarentena,"Ninguém entra ou sai sem risco, autorização ou violência.","Vilarejos, mosteiros, navios encalhados e fortalezas."
em_reforma,Em Reforma,"Construtores, artesãos ou servos tentam recuperar o local enquanto ele ainda funciona mal.","Pontes, templos, estalagens, postos e torres."
em_reconstrucao,Em Reconstrução,O local foi destruído ou abandonado e agora está sendo erguido outra vez.,"Aldeias, muralhas, fortalezas, mercados e portos."
incendiado,Incendiado,"Queimadas recentes deixaram fumaça, cinzas, brasas e estruturas frágeis.","Florestas, acampamentos, vilas, armazéns e torres."
infestado,Infestado,"Pragas, vermes, insetos, ratos, fungos ou criaturas pequenas dominam passagens e depósitos.","Minas, celeiros, ruínas, esgotos e cavernas."
instavel,Instável,"O terreno ou estrutura pode ceder, desabar, mudar de lugar ou reagir a sons e peso.","Pontes, minas, falésias, ruínas, túneis e torres."
interditado,Interditado,"Autoridade local, tabu religioso ou perigo visível proíbe a entrada.","Templos, arquivos, pontes, portos, minas e zonas contaminadas."
lacrado,Lacrado,"Portas, portões, selos ou barreiras impedem acesso normal.","Tumbas, cofres, templos, portais, torres e fortalezas."
patrulhado,Patrulhado,"Guardas, caçadores, batedores, espíritos ou monstros percorrem rotas regulares.","Estradas, fronteiras, fortalezas, minas e bosques sagrados."
profanado,Profanado,"Símbolos foram violados, túmulos abertos ou rituais corrompidos.","Templos, cemitérios, santuários e marcos sagrados."
saqueado,Saqueado,"Alguém chegou antes; resta bagunça, rastros, armadilhas deixadas para trás e talvez algo esquecido.","Caravanas, tumbas, ruínas, armazéns e casas nobres."
selado,Selado,"O local foi fechado para conter algo, preservar algo ou esconder uma verdade.","Portais, poços, ruínas arcanas, prisões e criptas."
soterrado,Soterrado,"Terra, neve, areia, cinzas ou pedras cobrem parte do ponto de interesse.","Estradas, ruínas, entradas de caverna, tumbas e torres derrubadas."
submerso,Submerso,O local está parcial ou totalmente abaixo d’água.,"Templos antigos, ruínas costeiras, pontes, vilas afundadas e cavernas."
em_festival,Em Festival,"Música, mercado, peregrinos, comida, apostas ou ritos públicos enchem o local.","Aldeias, feiras, santuários, tavernas e praças."
em_ritual,Em Ritual,"Um rito está em andamento, prestes a começar ou acabou de terminar.","Altares, círculos de pedra, templos, poços e clareiras."
evacuado,Evacuado,"Os moradores saíram às pressas; ferramentas, comida e sinais de pânico ficaram para trás.","Aldeias, minas, postos, portos e fazendas."
silencioso,Silencioso,"Sons parecem morrer no local; isso pode ser natural, mágico ou sinal de predador.","Bosques, ruínas, torres, campos de batalha e cavernas."
distorcido,Distorcido,"Distâncias, sombras, ecos ou direções não se comportam direito.","Lugares feéricos, mágicos, caóticos ou ligados a sonhos."
em_colapso,Em Colapso,A estrutura está cedendo agora ou pode ruir durante exploração.,"Pontes, minas, torres, muralhas, templos e cavernas."
ocupacao_recente,Ocupação Recente,"Alguém acabou de ocupar o local e ainda está montando defesas, rotinas e estoque.","Ruínas, fortes, cavernas, torres e vilas abandonadas."
reivindicado,Reivindicado,"Uma facção marcou posse por bandeiras, inscrições, totens, tributos ou patrulhas.",Qualquer POI com valor estratégico.
sem_luz,Sem Luz,"Escuridão natural ou sobrenatural domina o lugar, mesmo em pleno dia.","Cavernas, bosques, templos, torres e ruínas arcanas."
vigiado_a_distancia,Vigiado à Distância,"O local parece vazio, mas alguém observa de longe por batedores, magia ou animais treinados.","Fronteiras, ruínas, caminhos, pontes e covis."
