id,label,categoria,estados_sugeridos,descricao
aldeia_isolada,Aldeia Isolada,civilizacao,"Ativo, Em Quarentena, Evacuado, Em Festival, Em Cerco","Pequena comunidade fora das rotas principais, dependente de uma fonte, colheita, culto ou pacto local."
acampamento_de_caravanas,Acampamento de Caravanas,estrada,"Ativo, Saqueado, Patrulhado, Ocupação Recente","Clareira ou pátio usado por viajantes, com marcas de rodas, fogueiras antigas e rumores frescos."
acampamento_de_cacadores,Acampamento de Cacadores,natureza,"Ativo, Abandonado, Patrulhado, Assombrado","Abrigo simples de caçadores, batedores ou mateiros, cheio de rastros, peles e mapas rústicos."
acampamento_de_mercenarios,Acampamento de Mercenarios,militar,"Ativo, Em Cerco, Ocupação Recente, Saqueado","Tendas disciplinadas, estacas defensivas e gente armada esperando pagamento ou contrato."
aqueduto_quebrado,Aqueduto Quebrado,ruina,"Arruinado, Alagado, Tomado pela Natureza, Instável","Obra antiga conduzindo água de lugar nenhum para lugar nenhum, ainda útil como ponte ou esconderijo."
arena_antiga,Arena Antiga,ruina,"Arruinado, Assombrado, Ocupado, Em Festival","Anfiteatro de pedra onde lutas, julgamentos ou sacrifícios aconteciam diante de multidões."
arvore_sagrada,Arvore Sagrada,natureza,"Consagrado, Profanado, Guardado, Amaldiçoado","Árvore colossal ligada a juramentos, curas, espíritos locais ou fronteiras invisíveis."
arquivo_soterrado,Arquivo Soterrado,ruina,"Soterrado, Lacrado, Saqueado, Sem Luz","Salas de pedra cobertas por terra ou cinza, guardando registros, mapas, dívidas e nomes esquecidos."
barragem_antiga,Barragem Antiga,estrutura,"Instável, Alagado, Patrulhado, Em Reforma","Muralha hidráulica que controla um rio, lago ou inundação que alguém prefere manter presa."
barricada_de_estrada,Barricada de Estrada,estrada,"Ativo, Patrulhado, Abandonado, Em Cerco","Bloqueio improvisado com troncos, carroças, pedras e gente querendo cobrar, fugir ou impedir passagem."
biblioteca_queimada,Biblioteca Queimada,ruina,"Incendiado, Arruinado, Saqueado, Assombrado","Restos de um arquivo consumido por fogo, com páginas negras e salas onde uma verdade escapou por pouco."
bosque_de_pedras,Bosque de Pedras,natureza,"Distorcido, Consagrado, Assombrado, Sem Luz","Campo de menires naturais ou petrificados, formando corredores, ecos e alinhamentos estranhos."
casa_de_pedagio,Casa de Pedagio,estrada,"Ativo, Saqueado, Ocupado, Reivindicado","Posto estreito em ponte, estrada ou desfiladeiro, feito para cobrar passagem e registrar viajantes."
casa_de_eremita,Casa de Eremita,civilizacao,"Ativo, Abandonado, Oculto, Amaldiçoado","Cabana fora do mundo, onde alguém vive por fé, culpa, estudo, exílio ou medo."
casa_que_anda,Casa que Anda,sobrenatural,"Distorcido, Assombrado, Oculto, Amaldiçoado",Moradia que nunca está exatamente no mesmo lugar e parece seguir regras próprias.
cemiterio_esquecido,Cemiterio Esquecido,funerario,"Assombrado, Profanado, Tomado pela Natureza, Consagrado","Sepulturas cobertas de mato, nomes gastos e oferendas deixadas por quem ainda lembra."
circulo_de_pedras,Circulo de Pedras,sobrenatural,"Em Ritual, Consagrado, Distorcido, Guardado","Pedras erguidas em padrão antigo, úteis para ritos, mapas celestes ou passagens sazonais."
clareira_das_bruxas,Clareira das Bruxas,sobrenatural,"Em Ritual, Amaldiçoado, Oculto, Sem Luz","Clareira onde ervas, ossos, máscaras e árvores marcadas denunciam práticas proibidas."
covil_de_bandidos,Covil de Bandidos,perigo,"Ativo, Ocupado, Patrulhado, Saqueado","Abrigo de criminosos com vigias, reféns, mercadorias roubadas e rotas de fuga."
covil_de_fera,Covil de Fera,perigo,"Ativo, Infestado, Soterrado, Sem Luz","Ninho, toca ou antro de uma criatura dominante, cercado por ossos, cheiro e território marcado."
cratera_recente,Cratera Recente,natureza,"Instável, Contaminado, Sem Luz, Guardado","Buraco aberto por meteoro, explosão, queda divina ou experimento; algo ainda pode estar quente no fundo."
cruzamento_de_ossos,Cruzamento de Ossos,estrada,"Assombrado, Amaldiçoado, Vigiado à Distância, Saqueado","Encontro de trilhas marcado por ossos, totens, avisos e escolhas ruins."
docas_fluviais,Docas Fluviais,civilizacao,"Ativo, Alagado, Saqueado, Em Quarentena","Pequeno cais de rio usado para carga, pesca, contrabando e notícias vindas de longe."
entrada_de_submundo,Entrada de Submundo,sobrenatural,"Lacrado, Sem Luz, Guardado, Profanado","Fenda, escadaria ou portão que desce para camadas antigas e perigosas do mundo."
estacao_de_mensageiros,Estacao de Mensageiros,estrada,"Ativo, Evacuado, Saqueado, Patrulhado","Posto com cavalos, pombos, sinos ou placas de rota para transmitir notícias rápidas."
estalagem_de_estrada,Estalagem de Estrada,civilizacao,"Ativo, Ocupado, Saqueado, Em Festival","Pouso entre perigos, bom para rumores, dívidas, emboscadas, refeições quentes e desaparecimentos."
estatua_colossal,Estatua Colossal,ruina,"Arruinado, Consagrado, Profanado, Distorcido","Figura gigante caída ou parcialmente enterrada, visível a quilômetros e coberta de marcas antigas."
fazenda_fortificada,Fazenda Fortificada,civilizacao,"Ativo, Em Cerco, Evacuado, Reivindicado","Propriedade rural com paliçada, celeiros e moradores acostumados a se defender."
feira_itinerante,Feira Itinerante,civilizacao,"Em Festival, Ativo, Ocupação Recente, Vigiado à Distância","Tendas, carroças e vendedores que surgem por poucos dias, levando mercadorias e problemas."
fenda_fumegante,Fenda Fumegante,natureza,"Contaminado, Instável, Sem Luz, Consagrado","Rachadura quente no solo, soltando vapor, cheiro mineral e talvez vozes de baixo."
forja_abandonada,Forja Abandonada,estrutura,"Abandonado, Saqueado, Incendiado, Assombrado","Oficina fria com bigornas, moldes e metal incompleto deixado por ferreiros desaparecidos."
fonte_de_aguas_negras,Fonte de Aguas Negras,natureza,"Contaminado, Amaldiçoado, Consagrado, Guardado","Nascente escura que cura, envenena, mostra memórias ou cobra preço por cada gole."
granja_de_corvos,Granja de Corvos,civilizacao,"Ativo, Assombrado, Ocupado, Silencioso","Lugar onde corvos são criados, alimentados ou venerados; alguns parecem entender demais."
jardim_petrificado,Jardim Petrificado,ruina,"Distorcido, Amaldiçoado, Consagrado, Tomado pela Natureza","Jardim onde plantas, animais ou pessoas foram transformados em pedra."
laboratorio_alquimico,Laboratorio Alquimico,sobrenatural,"Contaminado, Saqueado, Instável, Em Reforma","Bancadas, frascos, odores fortes e resultados que ninguém deveria misturar de novo."
lago_negro,Lago Negro,natureza,"Submerso, Amaldiçoado, Sem Luz, Guardado","Água escura e parada, refletindo coisas que não estão no céu."
marco_de_fronteira,Marco de Fronteira,estrada,"Reivindicado, Profanado, Patrulhado, Distorcido","Pedra, torre baixa ou árvore marcada dividindo terras, leis e perigos."
mercado_feerico,Mercado Feerico,sobrenatural,"Em Festival, Distorcido, Oculto, Vigiado à Distância","Bancas impossíveis onde promessas, memórias, nomes e favores podem valer mais que ouro."
mina_ativa,Mina Ativa,estrutura,"Ativo, Patrulhado, Contaminado, Em Cerco","Escavação produtiva, cheia de trabalhadores, guardas, conflito de propriedade e riscos subterrâneos."
mina_exaurida,Mina Exaurida,estrutura,"Abandonado, Soterrado, Infestado, Sem Luz","Galerias sem minério útil, mas com túneis, ecos e gente que ainda procura algo."
moinho_de_agua,Moinho de Agua,civilizacao,"Ativo, Alagado, Saqueado, Tomado pela Natureza","Moinho em rio ou canal, essencial para uma vila e vulnerável a sabotagem."
moinho_de_vento,Moinho de Vento,civilizacao,"Ativo, Instável, Abandonado, Assombrado","Estrutura alta que range ao vento e serve como marco, moradia ou sinal."
monolito_rachado,Monolito Rachado,sobrenatural,"Distorcido, Consagrado, Profanado, Selado","Pedra vertical partida, gravada com sinais que mudam com estação, lua ou sangue."
mosteiro_remoto,Mosteiro Remoto,civilizacao,"Consagrado, Em Quarentena, Em Ritual, Saqueado","Comunidade religiosa isolada, guardando votos, livros, relíquias ou pecados."
muralha_ciclopica,Muralha Ciclopica,ruina,"Arruinado, Reivindicado, Patrulhado, Instável","Trecho de muralha enorme demais para mãos humanas comuns, hoje quebrado e disputado."
nascente_termal,Nascente Termal,natureza,"Ativo, Consagrado, Contaminado, Em Festival","Fonte quente usada para cura, descanso, culto ou extração mineral."
navio_encalhado,Navio Encalhado,estrutura,"Saqueado, Submerso, Assombrado, Em Quarentena","Casco preso em rio, costa, pântano ou até terra seca por eventos antigos."
ninho_colossal,Ninho Colossal,natureza,"Ativo, Guardado, Abandonado, Infestado","Ninho grande o bastante para ser visto de longe, com ovos, restos ou dono ciumento."
observatorio_arruinado,Observatorio Arruinado,ruina,"Arruinado, Distorcido, Tomado pela Natureza, Vigiado à Distância",Cúpula quebrada e instrumentos celestes apontados para algo que talvez esteja voltando.
olaria,Olaria,civilizacao,"Ativo, Incendiado, Abandonado, Ocupação Recente","Fornos de barro, tijolos, telhas e marcas de trabalho que podem abastecer uma vila inteira."
ossario,Ossario,funerario,"Profanado, Consagrado, Assombrado, Lacrado","Depósito de ossos organizado por rito, família, guerra ou necessidade."
pedreira,Pedreira,estrutura,"Ativo, Instável, Soterrado, Ocupado","Corte aberto na rocha, cheio de rampas, poeira, ferramentas e disputas por material."
